Date,DC,Recovered,Deceased,DR,TC,TR,Imported
March14,3,1,0,1,3,1,1
March15,1,2,0,2,4,3,0
March16,0,0,0,0,4,3,0
March17,0,0,0,0,4,3,0
March18,3,0,0,0,7,3,3
March19,2,0,0,0,9,3,2
March20,8,0,0,0,17,3,0
March21,7,0,0,0,24,3,0
March22,4,0,0,0,28,3,2
March23,4,0,0,0,32,3,0
March24,0,0,0,0,32,3,0
March25,6,0,0,0,38,3,0
March26,2,0,0,0,40,3,2
March27,10,0,0,0,50,3,0
March28,4,0,0,0,54,3,0
March29,5,0,0,0,59,3,1
March30,20,0,0,0,79,3,7
March31,14,0,0,0,93,3,11
April1,27,0,0,0,120,3,2
April2,13,0,0,0,133,3,0
April3,46,0,0,0,179,3,9
April4,27,22,1,23,206,26,0
April5,60,0,0,0,266,26,0
April6,35,0,1,1,301,27,0
April7,42,0,0,0,343,27,0
April8,40,20,1,21,383,48,0
April9,80,15,0,15,463,63,0
April10,98,0,0,0,561,63,0
April11,139,56,6,62,700,125,0
April12,104,5,2,7,804,132,0
April13,93,0,0,0,897,132,0
April14,108,26,0,26,1005,158,0
April15,71,0,0,0,1076,158,0
April16,55,17,0,17,1131,175,0
April17,98,19,6,25,1229,200,0
April18,122,17,4,21,1351,221,0
April19,127,5,2,7,1478,228,0
April20,98,0,2,2,1576,230,
April21,159,69,1,70,1735,300,
April22,153,70,1,71,1888,371,
April23,76,107,1,108,1964,479,
April24,70,42,4,46,2034,525,
April25,49,20,2,22,2083,547,
April26,102,116,7,123,2185,670,
April27,77,115,9,124,2262,794,
April28,102,26,2,28,2364,822,
April29,76,44,3,47,2440,869,
April30,144,79,3,82,2584,951,
May1,82,223,4,227,2666,1178,
May2,106,126,6,132,2772,1310,
May 3,114,114,3,117,2886,1427,
May 4,175,82,6,88,3061,1515,
May 5,97,87,12,99,3158,1614,
May 6,159,214,4,218,3317,1832,
May 7,110,150,6,156,3427,1988,
May 8,152,122,4,126,3579,2114,
May 9,129,151,3,154,3708,2268,
May 10,106,79,2,81,3814,2349,
May 11,174,83,5,88,3988,2437,