Date,Daily Conf,Total Conf,Daily Rec,Total Rec,Daily Death,Total Death,DR,TR,Imported_daily,Imported_total,TB_DC,TB_TC
14 March,1,1,0,0,0,0,0,0,0,0,0,0
15 March,0,1,0,0,0,0,0,0,0,0,0,0
16 March,0,1,1,1,0,0,1,1,0,0,0,0
17 March,0,1,0,1,0,0,0,1,0,0,0,0
18 March,1,2,0,1,0,0,0,1,0,0,0,0
19 March,1,3,0,1,0,0,0,1,1,1,0,0
20 March,0,3,0,1,0,0,0,1,0,1,0,0
21 March,3,6,0,1,0,0,0,1,3,4,0,0
22 March,3,9,0,1,0,0,0,1,3,7,0,0
23 March,3,12,0,1,0,0,0,1,2,9,0,0
24 March,6,18,0,1,1,1,1,2,3,12,0,0
25 March,8,26,0,1,0,1,0,2,5,17,0,0
26 March,3,29,0,1,0,1,0,2,2,19,0,0
27 March,9,38,1,2,0,1,1,3,0,19,0,0
28 March,4,42,0,2,0,1,0,3,3,22,0,0
29 March,8,50,0,2,0,1,0,3,0,22,0,0
30 March,17,67,2,4,0,1,2,5,0,22,0,0
31 March,57,124,2,6,0,1,2,7,0,22,80,80
01 April,110,234,0,6,0,1,0,7,2,24,110,190
02 April,75,309,0,6,0,1,0,7,0,24,74,264
03 April,102,411,0,6,0,1,0,7,1,25,100,364
04 April,74,485,2,8,2,3,4,11,0,25,73,437
05 April,86,571,0,8,2,5,2,13,0,25,85,522
06 April,50,621,5,13,1,6,6,19,0,25,48,570
07 April,69,690,6,19,1,7,7,26,0,25,63,633
08 April,48,738,2,21,1,8,3,29,0,25,42,675
09 April,96,834,6,27,0,8,6,35,0,25,84,759
10 April,77,911,17,44,1,9,18,53,0,25,71,830
11 April,58,969,0,44,1,10,1,54,0,25,47,877
12 April,106,1075,6,50,1,11,7,61,0,25,86,963
13 April,98,1173,8,58,0,11,8,69,0,25,91,1054
14 April,31,1204,23,81,1,12,24,93,0,25,21,1075
15 April,38,1242,37,118,2,14,39,132,0,25,34,1109